All,Tutti,module,Magento_AdminGws
None,Nessuno,module,Magento_AdminGws
"Allowed Scopes","Ambiti consentiti",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Non hai sufficienti diritti per eliminare gli elementi seguenti: %1.",module,Magento_AdminGws
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Ci sono regole che sono state modificate e che non sono state applicate. Solo gli utenti con accesso esclusivo possono applicare le regole.",module,Magento_AdminGws
"Please assign this entity to a store view.","Si prega di assegnare l'entità a una vista negozio.",module,Magento_AdminGws
"You can create an order in an active store only.","È possibile creare ordini solo in un negozio attivo.",module,Magento_AdminGws
"Please assign this item to a store view.","Si prega di assegnare l'elemento a una vista negozio.",module,Magento_AdminGws
"You need more permissions to save this item.","Non si dispone di diritti sufficienti per salvare l'elemento.",module,Magento_AdminGws
"You need more permissions to delete this item.","Non si dispone di diritti sufficienti per eliminare l'elemento.",module,Magento_AdminGws
"You need more permissions to view this item.","Non si dispone di diritti sufficienti per visualizzare l'elemento.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Si prega di specificare un website o uno store group.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Non si dispone di diritti sufficienti per assegnare tutti gli ambiti al ruolo.",module,Magento_AdminGws
"Incorrect website ID: %1","ID Sito Web errato: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Non hai permessi sufficienti per accedere al sito web: ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","ID negozio errato: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Non si dispone di diritti sufficienti per salvare le impostazioni.",module,Magento_AdminGws
"Role Scopes","Ambiti del ruolo",module,Magento_AdminGws
Custom,Personalizzato,module,Magento_AdminGws
"Read Details","Maggiori dettagli",module,Magento_AdminNotification
"Mark as Read","Segna come già letto",module,Magento_AdminNotification
"Are you sure?","Sei sicuro?",module,Magento_AdminNotification
Remove,Elimina,module,Magento_AdminNotification
"Messages Inbox","Messaggi in arrivo",module,Magento_AdminNotification
"You have %1 new system messages","Nuovi messaggi di sistema: %1",module,Magento_AdminNotification
"You have %1 new system message","Nuovi messaggi di sistema: %1",module,Magento_AdminNotification
"Incoming Message","Messaggio in arrivo",module,Magento_AdminNotification
close,chiudi,module,Magento_AdminNotification
"Read details","Maggiori dettagli",module,Magento_AdminNotification
Notifications,Notifiche,module,Magento_AdminNotification
"The message has been marked as Read.","Il messaggio è stato contrassegnato come letto.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Non è stato possibile segnare la notifica come letta a causa di un errore.",module,Magento_AdminNotification
"Please select messages.","Si prega di selezionare i messaggi.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Elementi segnati come letti: %1.",module,Magento_AdminNotification
"The message has been removed.","Il messaggio è stato eliminato.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Non è stato possibile eliminare i messaggi a causa di un errore.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Elementi rimossi: %1.",module,Magento_AdminNotification
"1 Hour","1 ora",module,Magento_AdminNotification
"2 Hours","2 ore",module,Magento_AdminNotification
"6 Hours","6 ore",module,Magento_AdminNotification
"12 Hours","12 ore",module,Magento_AdminNotification
